Company,Number
Amazon,71
Apple,50
Microsoft,47
Workday,27
Intuit,25
Google,23
Amazon Web Services,16
Salesforce,16
Cisco,13
GoDaddy,12
Ridgeline,11
Yardi Systems,11
Veeva Systems,10
Facebook,7
Green Hills Software,6
Nike,6
Western Digital,5
Chevron,5
Palo Alto Networks,5
ServiceNow,5
Arista Networks,4
Keysight Technologies,4
Northrop Grumman,4
Oracle,4
The Walt Disney Company,4
VMware,4
Deloitte,3
General Atomics,3
Lawrence Livermore National Laboratory,3
Skillz Inc,3
Snap,3
Transunion,3
Adobe,2
Blizzard Entertainment,2
Hewlett Packard,2
iFixit,2
Lockheed Martin,2
Viasat,2
